# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
5.3182,0.0572
5.3223,0.0521
5.3264,0.0560
5.3306,0.0534
5.3347,0.0547
5.3388,0.0560
5.3430,0.0572
5.3471,0.0534
5.3512,0.0560
5.3554,0.0521
5.3595,0.0560
5.3636,0.0483
5.3678,0.0534
5.3719,0.0521
5.3760,0.0534
5.3802,0.0560
5.3843,0.0572
5.3884,0.0572
5.3926,0.0572
5.3967,0.0534
5.4008,0.0572
5.4050,0.0521
5.4091,0.0521
5.4132,0.0534
5.4174,0.0521
5.4215,0.0560
5.4256,0.0509
5.4298,0.0547
5.4339,0.0534
5.4380,0.0560
5.4421,0.0534
5.4463,0.0534
5.4504,0.0547
5.4545,0.0560
5.4587,0.0585
5.4628,0.0547
5.4669,0.0560
5.4711,0.0547
5.4752,0.0560
5.4793,0.0534
5.4835,0.0521
5.4876,0.0547
5.4917,0.0585
5.4959,0.0521
5.5000,0.0547
5.5041,0.0496
5.5083,0.0534
5.5124,0.0547
5.5165,0.0547
5.5207,0.0521
5.5248,0.0521
5.5289,0.0509
5.5331,0.0496
5.5372,0.0560
5.5413,0.0547
5.5455,0.0534
5.5496,0.0547
5.5537,0.0534
5.5579,0.0572
5.5620,0.0560
5.5661,0.0560
5.5702,0.0572
5.5744,0.0547
5.5785,0.0547
5.5826,0.0534
5.5868,0.0585
5.5909,0.0509
5.5950,0.0623
5.5992,0.0534
5.6033,0.0572
5.6074,0.0534
5.6116,0.0547
5.6157,0.0572
5.6198,0.0534
5.6240,0.0547
