distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
28.7500,0.0534,191342.8617,0.0001,0.0072,0.0468,128.9133,60.1132
30.0000,0.0534,236358.3888,0.0001,0.0076,0.0436,128.3244,61.2686
31.2500,0.0534,167435.3139,0.0001,0.0076,0.0489,129.3073,59.3634
32.5000,0.0534,150437.1120,0.0001,0.0073,0.0507,129.6363,58.7510
33.7500,0.0534,160583.3137,0.0001,0.0068,0.0496,129.4343,59.1255
35.0000,0.0534,160493.7465,0.0001,0.0068,0.0496,129.4360,59.1224
36.2500,0.0534,186125.6748,0.0001,0.0071,0.0473,128.9935,59.9592
37.5000,0.0534,177414.2261,0.0001,0.0076,0.0480,129.1343,59.6905
38.7500,0.0521,189720.5853,0.0001,0.0073,0.0470,126.6057,60.9282
40.0000,0.0521,239410.5143,0.0001,0.0064,0.0434,125.9475,62.2331
41.2500,0.0521,226933.6079,0.0001,0.0061,0.0442,126.0944,61.9371
42.5000,0.0521,184890.2276,0.0001,0.0063,0.0474,126.6819,60.7806
43.7500,0.0521,105214.7038,0.0001,0.0076,0.0571,128.5215,57.4131
45.0000,0.0521,100331.1873,0.0001,0.0078,0.0581,128.6930,57.1173
46.2500,0.0521,152801.0836,0.0001,0.0067,0.0505,127.2657,59.6717
47.5000,0.0521,164854.4922,0.0001,0.0065,0.0492,127.0287,60.1171
48.7500,0.0521,202595.3590,0.0001,0.0060,0.0459,126.4147,61.3013
50.0000,0.0521,159714.1472,0.0001,0.0067,0.0497,127.1268,59.9319
51.2500,0.0521,145507.1275,0.0001,0.0068,0.0513,127.4215,59.3822
52.5000,0.0521,129193.8778,0.0001,0.0068,0.0534,127.8112,58.6699
53.7500,0.0521,119808.2605,0.0001,0.0071,0.0547,128.0665,58.2122
55.0000,0.0521,108265.3890,0.0001,0.0073,0.0566,128.4197,57.5900
56.2500,0.0521,104366.8955,0.0001,0.0077,0.0573,128.5505,57.3628
57.5000,0.0521,129112.4634,0.0001,0.0069,0.0534,127.8133,58.6661
58.7500,0.0521,135257.0212,0.0001,0.0059,0.0526,127.6591,58.9460
60.0000,0.0521,142637.3413,0.0001,0.0054,0.0516,127.4857,59.2637
61.2500,0.0521,141728.2499,0.0001,0.0054,0.0517,127.5064,59.2256
62.5000,0.0521,136222.4455,0.0001,0.0058,0.0524,127.6357,58.9887
63.7500,0.0521,155183.1328,0.0001,0.0062,0.0502,127.2169,59.7628
65.0000,0.0521,142932.8309,0.0001,0.0064,0.0516,127.4790,59.2760
66.2500,0.0521,131981.9114,0.0001,0.0067,0.0530,127.7401,58.7987
67.5000,0.0521,166023.1700,0.0001,0.0065,0.0491,127.0069,60.1583
68.7500,0.0521,170186.0637,0.0001,0.0064,0.0487,126.9311,60.3024
70.0000,0.0521,112043.0189,0.0001,0.0069,0.0560,128.2988,57.8016
71.2500,0.0521,117316.4017,0.0001,0.0071,0.0551,128.1388,58.0838
72.5000,0.0521,115653.6895,0.0001,0.0067,0.0554,128.1882,57.9964
73.7500,0.0521,112021.4928,0.0002,0.0061,0.0560,128.2995,57.8004
